keys,en
"一段旅程的馈赠。点想要的奖励领取（可只拿其中几样）","A gift from the journey. Claim the parts you want (you may take only some)."
"获取货币  +{0}","Claim gold  +{0}"
"获得遗物：{0}","Get relic: {0}"
"获取药材袋：{0}","Claim herb bag: {0}"
"离开（放弃剩余奖励）","Leave (give up the rest)"
"🏪 商店","🏪 Shop"
"老板神秘地笑了笑，示意你看看货架。","The shopkeeper smiles mysteriously and gestures at the shelves."
"货币：{0}","Gold: {0}"
"货币：{0}（买不起这件）","Gold: {0} (cannot afford this)"
"{0}   ·   {1} 货币","{0}   ·   {1} gold"
"已售","Sold"
"购买","Buy"
"离开商店","Leave Shop"
"药材袋：{0}","Herb bag: {0}"
"战斗胜利！点击领取想要的奖励（可跳过全部）","Victory! Click to claim the rewards you want (you may skip everything)"
"选择药材袋：{0}","Choose herb bag: {0}"
"跳过剩余奖励（离开）","Skip remaining rewards (leave)"
"首领遗物 · 选择一件（准备进入下一层）","Boss relic · choose one (before the next act)"
"选择：{0}","Choose: {0}"
"跳过（不选首领遗物）","Skip (no boss relic)"
"选择一件开局遗物（职业遗物已自动获得）","Choose a starting relic (your job relic is already granted)"
"跳过（不拿额外遗物）","Skip (no extra relic)"

"{0}×{1}·{2:0}s","{0}×{1}·{2:0}s"
"{0}×{1}","{0}×{1}"
"{0} {1}","{0} {1}"
"{0} {1}×{2}","{0} {1}×{2}"
"{0}·{1}","{0}·{1}"
"💀 倒下","💀 Down"
"💫 瘫痪","💫 Staggered"
"⚠ {0}","⚠ {0}"
"添加 {0} ×{1}","Add {0} ×{1}"
"移除 {0} ×{1}","Remove {0} ×{1}"
"去掉末尾 ×{0}","Drop last ×{0}"
"翻转顺序","Reverse order"
"反转极性","Reverse polarity"
"、",", "
"敌人","Enemy"
"药材 ×0","Herb ×0"
"玩家 0/0 · 护盾 0","Player 0/0 · Block 0"
"药水","Potion"
"拖到目标投掷","Drag onto a target to throw"

"锅是空的：先点【完成制作】→【重新开锅】","The cauldron is empty: press [Finish Brewing] → [New Cauldron] first"
"有动作在倒计时，稍候再投料","An action is counting down; wait before adding ingredients"
"完成制作","Finish Brewing"
"药水出炉（预制体缺失，无法展示）","Potion ready (prefab missing, cannot display)"
"调制中… {0:0.0}s","Brewing… {0:0.0}s"
"拖入材料进锅，或点【完成制作】","Drag ingredients into the cauldron, or press [Finish Brewing]"
"药水出炉！{0}    选基底开下一锅","Potion ready! {0}    Pick a base for the next cauldron"
"选择基底开锅","Pick a base to start brewing"
"颜色 RGB({0},{1},{2})  内容：{3}","Color RGB({0},{1},{2})  Contents: {3}"

"没有可用存档","No save available"
"设置已保存 ✓","Settings saved ✓"
"当前没有进行中的局","No run in progress"
"已保存 ✓（第 {0} 层；房内保存=读档重打本房）","Saved ✓ (Act {0}; saving inside a room means you replay that room on load)"
"保存当前进度并退出到主菜单？","Save progress and quit to the main menu?"
"（第 {0} 大层 · 生命 {1}/{2}）","(Act {0} · HP {1}/{2})"
"之后可从主菜单「继续」这一局。","You can continue this run from the main menu afterwards."
"确认","Confirm"
"保存并退出","Save & Quit"
"保存并退出到主菜单","Save & Quit to Main Menu"
"音量（音频总线已就绪，资源到位即生效）","Volume (audio buses are ready; takes effect once audio assets exist)"
"主音量","Master"
"音乐","Music"
"音效","SFX"
"语言切换立即生效（本页会自动刷新）","Language changes apply immediately (this page reloads itself)"
"帧率上限","FPS Limit"
"语言","Language"
"不限制","Unlimited"

"历史回顾","Run History"
"共 {0} 局","{0} runs"
"（暂无历史记录）","(No run records yet)"
"详情","Details"
"收起","Collapse"
"（无详细记录）","(No detail records)"
"#{0}  {1}  {2}  ·  {3}  ·  第 {4} 层  ·  {5}  ·  货币 {6}","#{0}  {1}  {2}  ·  {3}  ·  Act {4}  ·  {5}  ·  Gold {6}"
"通关","Victory"
"倒下","Defeated"
"放弃","Abandoned"

"铁皮手环","Iron Bracer"
"战斗开始时，获得 1 层坚韧（受到的所有伤害 −1）。","At combat start, gain 1 Toughness (all damage taken −1)."
"钢铁意志","Steel Will"
"获得格挡时，额外 +1。","When you gain Block, gain 1 extra."
"荆棘斗篷","Thorn Cloak"
"战斗开始时，获得 2 层棘皮（下次受到伤害时反伤，最高 2 点）。","At combat start, gain 2 Thorns (reflect up to 2 damage the next time you take damage)."
"法力水晶","Mana Crystal"
"主动：回复 5 点生命。每场战斗可用 1 次。","Active: restore 5 HP. Usable once per combat."
"哥布林王冠","Goblin Crown"
"战斗开始时，所有敌人获得 1 层易感（受到的伤害 +1）。","At combat start, all enemies gain 1 Vulnerable (damage taken +1)."
"符文王冠","Rune Crown"
"战斗开始时，获得 2 层不朽（一段时间内生命不会低于 2 点）。","At combat start, gain 2 Immortal (HP cannot drop below 2 for a while)."
"深渊之心","Heart of the Abyss"
"战斗开始时，获得 1 层祝福（每次行动回复 1 点生命）。","At combat start, gain 1 Blessing (heal 1 HP per action)."
"死亡之钟","Death Bell"
"战斗开始时，所有敌人获得 1 层迟钝（计时操作更慢）。","At combat start, all enemies gain 1 Sluggish (timed actions are slower)."
"幸运草","Lucky Clover"
"战斗开始时，获得 1 层精确（下次直接操作造成的伤害 +1）。","At combat start, gain 1 Precision (the next direct action deals +1 damage)."
"石之心","Stone Heart"
"战斗开始时，获得 3 点格挡。","At combat start, gain 3 Block."
"木符","Wooden Amulet"
"战斗开始时，获得 2 点格挡。","At combat start, gain 2 Block."
"凤凰之心","Phoenix Heart"
"每场战斗第一次死亡时，以 1 点生命复活。","The first time you die in a combat, revive with 1 HP."
"温暖睡袋","Warm Bedroll"
"在火堆休息时，睡觉的回复量 +50%。","Sleeping at a rest site restores 50% more HP."
"炼金典籍","Alchemy Codex"
"研究员专属。记载完整清水炼金配方的典籍。（效果待设计）","Researcher only. A tome recording the complete Clear Water alchemy recipe. (Effect TBD)"
"腐蚀手册","Corrosion Manual"
"精灵专属。记载浓油腐蚀之术的手册。（效果待设计）","Elf only. A manual of Thick Oil corrosion arts. (Effect TBD)"
"反转卷轴","Scroll of Reversal"
"E.T. 专属。能让炼药顺序反转的古老卷轴。（效果待设计）","E.T. only. An ancient scroll that reverses the brewing order. (Effect TBD)"

"苔藓","Moss"
"绵软潮湿，能生出一层薄薄的护皮。","Soft and damp; it grows a thin layer of hide."
"灰烬","Ash"
"余温未散，灼痛且令人破绽百出。","Still warm; it burns and leaves you wide open."
"苦根","Bitter Root"
"苦涩无比，却腐蚀力极强。","Bitter beyond words, yet highly corrosive."
"萤光菇","Glowcap"
"入口清凉，缓缓恢复生命。","Cool to the tongue; slowly restores HP."
"蛇莓","Snakeberry"
"艳红多汁，暗藏剧毒。","Bright red and juicy, hiding deadly venom."
"磷粉","Phosphor"
"幽幽冷光，令人神志恍惚。","A faint cold glow that dazes the mind."
"迷惘草","Muddleweed"
"一株会让人昏沉踉跄的野草。","A weed that leaves you dazed and stumbling."
"镀金苔","Gildmoss"
"覆金的苔藓，厚实而自净。","Gold-coated moss; thick and self-cleansing."
"炽晶","Cindercrystal"
"灼热结晶，猛攻却令人恍惚。","A scorching crystal: fierce offense, hazy mind."
"绞藤","Vine"
"坚韧缠绕，束缚他人也暴露自身。","Tough and clinging; it binds others and exposes you."
"时砂","Timesand"
"掌中流沙，快慢都由它定。","Sand in your palm; it decides fast and slow."
"逆鳞花","Reverseflower"
"花叶颠倒，药性尽数反转。","Flower and leaf inverted; all properties are reversed."
"影莲","Shadow Lotus"
"生于暗影，伤人亦自损。","Born of shadow; it harms others and yourself."
"虚空瓣","Void Petal"
"吞没虚空的花瓣，沾之成瘾。","A petal that swallows the void; touching it breeds addiction."
"龙涎","Ambergris"
"海兽之涎，能短暂吊住性命。","Seabeast spittle that briefly holds back death."
"凤凰羽","Phoenix Feather"
"炽羽不熄，起死回生。","A burning feather that never goes out; it brings back the dead."

"易感","Vulnerable"
"坚韧","Toughness"
"精确","Precision"
"击穿","Penetration"
"棘皮","Thorns"
"致幻","Hallucination"
"淤伤","Bruise"
"祝福","Blessing"
"不朽","Immortal"
"烈毒","Deadly Poison"
"药物依赖","Dependence"
"抗药性","Resistance"
"迟钝","Sluggish"
"专注","Focus"
"恢复","Restore"
"铁皮","Iron Skin"
"腐蚀","Corrosion"
"涤净","Cleanse"
"加深","Deepen"
"消解","Dissolve"
"续命","Life Extension"
"清水","Clear Water"
"浓油","Thick Oil"
"黏液","Slime"
"炼药师","Apothecary"

"攻击","Attack"
"防御","Defend"
"施法","Cast"
"猛击","Slam"

"史莱姆","Slime"
"大史莱姆","Big Slime"
"哥布林","Goblin"
"哥布林萨满","Goblin Shaman"
"哥布林王","Goblin King"
"野狼","Wolf"
"教徒","Cultist"
"食人魔","Ogre"
"巨魔","Troll"
"尸鬼","Wight"
"黑骑士","Dark Knight"
"恶魔","Demon"
"幼龙","Dragon Whelp"
"女妖","Banshee"
"大法师","Archmage"
"石像魔像","Stone Golem"
"女巫首领","Witch Boss"
"亡灵领主","Lich King"
"深渊之主","Abyss Lord"

"受伤的猎人","Wounded Hunter"
"一位猎人在路边哀嚎，腿上的伤口触目惊心。","A hunter wails by the roadside, a ghastly wound on his leg."
"包扎伤口（恢复 8 生命）","Bandage the wound (heal 8 HP)"
"分给他 30 货币，换一件普通遗物","Give him 30 gold for a common relic"
"离开","Leave"
"废弃药架","Abandoned Shelf"
"废弃的药架上落满灰尘，几瓶药材还散发着微弱的光泽。","The abandoned shelf is thick with dust, yet a few vials still glimmer faintly."
"翻找（获得 2 个罕见药材）","Search (gain 2 uncommon herbs)"
"冒险深入（失去 12 生命，获得 1 个稀有药材）","Dig deeper (lose 12 HP, gain 1 rare herb)"
"贪婪的商人","Greedy Merchant"
"一个精明的商人拦住了你，神秘地掀开斗篷，露出一件发光的物件。","A shrewd merchant blocks your way and, with a mysterious flourish, reveals a glowing item under his cloak."
"花 80 货币买一件稀有遗物","Pay 80 gold for a rare relic"
"神秘泉水","Mystic Spring"
"清泉在月下泛着微光，喝下它或许能让你变得更坚韧。","The spring shimmers under the moon; drinking may make you tougher."
"痛饮（生命上限 +5）","Drink deeply (+5 Max HP)"
"被遗弃的祭坛","Forsaken Altar"
"荒废的祭坛上残留着诡异的力量，献上一些生命力或许能换来馈赠。","Eerie power lingers on the ruined altar; offering some vitality may earn a gift."
"献祭（生命上限 -4，获得 1 件稀有遗物）","Sacrifice (−4 Max HP, gain 1 rare relic)"

"主菜单","Main Menu"
"回地图","Back to Map"
"选职业","Pick Job"
"胜利","Victory"
"失败","Defeat"
"保存","Save"
"拿药材（稀有度↓）","Get Herb (rarity ↓)"
"Complete","Complete"
"返回主菜单","Back to Main Menu"
